,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
136,"525 West 52nd Street, Apt 5ON","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2750.0,1.0,0
137,"30-86 36th Street, Apt 2F","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2850.0,1.0,2
138,"138 West 87th Street, Apt #2R","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2800.0,1.0,1
139,"100 Starr Street, Apt 1F","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2100.0,1.0,1
140, E. 87th and York Ave,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3000.0,2.0,2
141,"113 Clifton Place, Apt 1","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,3600.0,2.0,4
142,"785 Ninth Avenue, Apt 2B","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2995.0,1.0,2
143, East 83rd and 1st Ave,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2150.0,1.0,0
144,"535 West 162nd Street, Apt 26","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2705.0,1.0,3
145,Spruce Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3685.0,1.0,1
146,"160 West 62nd Street, Apt 6B","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3195.0,1.0,0
147,"348 Saint Nicholas Avenue, Apt...","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,3650.0,2.0,4
148,"374 West 46th Street #2w, Apt ...","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2295.0,1.0,1
149,"532 West 143rd Street, Apt 63","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,2450.0,1.0,2
